Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Real Madrid,19,15,3,1,40,11,29,48,2.53,32.9,18.5,14.4,0.76,W D W W W,69888,Jude Bellingham - 13,Kepa Arrizabalaga,
2,Girona,19,15,3,1,46,24,22,48,2.53,36.1,27.4,8.7,0.46,W W W D W,12674,Artem Dovbyk - 11,Paulo Gazzaniga,
3,Barcelona,19,12,5,2,36,22,14,41,2.16,43.1,20.2,23.0,1.21,W L D W W,40742,Robert Lewandowski - 8,Marc-André ter Stegen,
4,Athletic Club,19,11,5,3,36,19,17,38,2.0,34.6,18.8,15.9,0.83,W D W W W,44686,"Iñaki Williams, Gorka Guruzeta - 8",Unai Simón,
5,Atlético Madrid,19,12,2,5,39,23,16,38,2.0,33.0,22.2,10.8,0.57,W L D W L,57522,Álvaro Morata - 12,Jan Oblak,
6,Real Sociedad,19,8,8,3,30,19,11,32,1.68,24.9,22.4,2.5,0.13,D W D D D,32674,Mikel Oyarzabal - 7,Álex Remiro,
7,Betis,19,6,10,3,21,20,1,28,1.47,23.1,24.8,-1.8,-0.09,D D D D L,51218,Willian José - 6,Rui Silva,
8,Getafe,19,6,8,5,24,25,-1,26,1.37,21.6,26.1,-4.6,-0.24,L W W D L,11433,Borja Mayoral - 12,David Soria,
9,Valencia,19,7,5,7,22,23,-1,26,1.37,20.2,21.3,-1.1,-0.06,L L D W W,43833,Hugo Duro - 7,Giorgi Mamardashvili,
10,Las Palmas,19,7,4,8,16,17,-1,25,1.32,15.9,26.6,-10.7,-0.56,W W D L L,25587,Kirian Rodríguez - 3,Álvaro Vallés,
11,Rayo Vallecano,19,5,8,6,18,24,-6,23,1.21,23.2,26.8,-3.5,-0.19,L D L L W,12793,Álvaro García - 4,Stole Dimitrievski,
12,Osasuna,19,6,4,9,22,29,-7,22,1.16,21.7,25.2,-3.6,-0.19,D D W L W,20233,Ante Budimir - 9,Sergio Herrera,
13,Alavés,20,5,5,10,18,27,-9,20,1.0,24.9,24.2,0.7,0.04,L L L D W,17336,Samuel Omorodion - 4,Antonio Sivera,
14,Villarreal,19,5,4,10,27,38,-11,19,1.0,25.9,33.9,-8.0,-0.42,D L L W L,17804,Gerard Moreno - 9,Filip Jørgensen,
15,Mallorca,19,3,9,7,17,23,-6,18,0.95,20.8,24.4,-3.6,-0.19,D W D W L,16319,Abdón Prats - 5,Predrag Rajković,
16,Sevilla,20,3,7,10,25,30,-5,16,0.8,21.8,28.8,-7.0,-0.35,L W L L L,35049,Youssef En-Nesyri - 5,Marko Dmitrović,
17,Celta Vigo,19,3,7,9,20,29,-9,16,0.84,26.8,27.6,-0.7,-0.04,D D W L W,19256,Jørgen Strand Larsen - 7,Vicente Guaita,
18,Cádiz,19,2,9,8,14,26,-12,15,0.79,16.0,27.9,-11.8,-0.62,D D D D L,18524,Chris Ramos - 5,Jeremías Ledesma,
19,Granada,19,2,5,12,22,40,-18,11,0.58,22.6,33.1,-10.5,-0.55,L D L L W,17218,"Myrto Uzuni, Bryan Zaragoza - 6",André Ferreira,
20,Almería,19,0,5,14,19,43,-24,5,0.26,24.7,33.9,-9.1,-0.48,D L D L L,14051,Sergio Arribas - 5,Luís Maximiano,
