week,Real Madrid,Girona,Barcelona,Athletic Club,Atlético Madrid,Real Sociedad,Betis,Getafe,Valencia,Las Palmas,Rayo Vallecano,Osasuna,Alavés,Villarreal,Mallorca,Sevilla,Celta Vigo,Cádiz,Granada,Almería
1,2,0,0,-2,2,0,1,0,1,0,2,2,-1,-1,0,-1,-2,1,-2,-2
2,4,3,2,0,2,0,1,-3,2,-1,4,0,0,0,-1,-2,-2,-1,-4,-4
3,5,4,3,2,9,0,-1,-2,1,-1,-3,1,-1,-1,-2,-3,-3,-1,-3,-4
4,6,5,4,2,10,2,0,-3,0,-2,-4,0,0,-3,-2,-4,-2,1,-5,-5
5,7,7,9,5,7,1,-5,-2,3,-3,-2,-1,-2,-2,-1,-3,-3,-2,-7,-6
6,5,9,10,7,9,2,-5,-3,3,-2,-2,-1,-4,-2,-3,-3,-4,-2,-8,-6
7,7,10,10,7,11,3,-5,-3,2,-4,-2,-3,-4,-3,-3,1,-4,-2,-8,-10
8,10,7,11,4,12,6,-2,-3,-1,-3,-2,-1,-6,-3,-3,0,-5,-3,-8,-10
9,14,8,11,7,13,5,-2,-3,-1,-2,-2,-5,-6,-4,-3,0,-5,-4,-8,-13
10,14,11,12,6,16,6,-2,-3,1,-3,-1,-3,-6,-4,-4,0,-8,-6,-10,-16
11,15,12,11,6,17,6,-1,-3,1,-2,-1,-4,-7,-3,-4,0,-9,-6,-11,-17
12,15,14,12,7,16,5,1,-2,2,-1,-1,-6,-6,-4,-6,0,-9,-7,-12,-18
13,19,15,13,8,18,7,1,-2,-2,-1,-2,-6,-7,-6,-6,0,-10,-7,-12,-20
14,22,15,13,8,19,8,2,-1,-2,-2,-2,-8,-5,-4,-7,-1,-10,-10,-14,-21
15,24,16,14,12,18,8,2,-3,-3,0,-6,-8,-5,-4,-7,-1,-10,-10,-16,-21
16,24,18,12,12,19,11,2,-2,-4,1,-6,-8,-6,-7,-6,-2,-10,-10,-16,-22
17,27,21,12,14,17,11,2,1,-4,1,-7,-7,-9,-10,-6,-5,-9,-10,-17,-22
18,28,21,13,15,17,11,2,1,-3,0,-8,-8,-10,-9,-5,-2,-10,-10,-20,-23
19,29,22,14,17,16,11,1,-1,-1,-1,-6,-7,-10,-11,-6,-4,-9,-12,-18,-24
