week,Real Madrid,Girona,Barcelona,Athletic Club,Atlético Madrid,Real Sociedad,Betis,Getafe,Valencia,Las Palmas,Rayo Vallecano,Osasuna,Alavés,Villarreal,Mallorca,Sevilla,Celta Vigo,Cádiz,Granada,Almería
1,2,1,0,0,3,1,2,0,2,1,2,2,0,1,1,1,0,1,1,0
2,5,4,2,2,3,2,2,0,3,1,4,2,4,2,1,4,1,1,1,1
3,6,6,6,6,10,2,4,1,4,1,4,4,4,5,3,5,1,2,4,2
4,8,7,8,6,11,7,5,2,4,1,4,5,5,6,3,5,4,5,7,4
5,10,11,13,9,11,8,5,5,7,1,6,7,5,8,4,6,4,5,9,5
6,11,16,16,11,14,12,6,8,9,2,7,7,5,9,7,6,6,6,9,7
7,13,18,18,13,16,13,7,10,9,2,7,7,6,10,9,11,7,6,10,8
8,16,18,19,13,19,16,10,10,9,4,9,9,6,10,11,11,8,8,13,11
9,20,19,21,16,21,17,11,12,10,6,11,9,7,11,12,13,10,8,15,11
10,21,24,22,16,24,18,12,13,12,6,12,11,8,12,12,14,10,8,15,13
11,23,25,23,18,26,20,14,13,14,8,14,12,9,15,12,16,10,10,17,14
12,23,29,24,21,27,20,16,14,15,10,14,14,10,17,12,17,11,10,17,14
13,28,31,26,25,30,23,17,15,16,11,15,15,11,18,13,18,14,11,18,15
14,31,32,27,26,31,25,18,17,16,11,16,16,14,21,13,19,14,11,19,16
15,33,34,28,30,31,26,18,17,17,13,16,17,14,22,13,20,15,12,19,16
16,34,38,30,31,33,29,19,18,17,14,16,18,14,22,14,20,15,13,20,17
17,38,41,31,33,33,29,19,21,18,15,16,19,14,23,14,20,16,14,20,17
18,39,42,34,34,36,29,20,24,19,15,16,21,14,26,17,23,18,14,20,19
19,40,46,36,36,39,30,21,24,22,16,18,22,15,27,17,23,20,14,22,19
