Week,Real Madrid,Girona,Barcelona,Athletic Club,Atlético Madrid,Real Sociedad,Betis,Getafe,Valencia,Las Palmas,Rayo Vallecano,Osasuna,Alavés,Villarreal,Mallorca,Sevilla,Celta Vigo,Cádiz,Granada,Almería
1,3,1,1,0,3,1,3,1,3,1,3,3,0,0,1,0,0,3,0,0
2,6,4,4,3,4,2,4,1,6,1,6,3,3,3,1,0,1,3,0,0
3,9,7,7,6,7,3,4,4,6,2,6,6,3,3,1,0,1,4,3,1
4,12,10,10,7,10,6,7,4,6,2,6,6,6,3,2,0,4,7,3,1
5,15,13,13,10,10,6,7,7,9,2,9,6,6,6,5,3,4,7,3,1
6,15,16,16,13,13,9,8,7,10,5,10,7,6,7,5,4,4,8,3,2
7,18,19,17,14,16,12,9,8,10,5,11,7,7,7,6,7,5,9,4,2
8,21,19,20,14,19,15,12,9,10,8,12,10,7,8,7,7,5,9,5,3
9,24,22,21,17,22,15,13,10,11,11,13,10,8,8,8,8,6,9,6,3
10,25,25,24,17,25,18,14,11,14,11,16,13,9,9,8,9,6,9,6,3
11,28,28,24,18,28,19,17,12,15,14,17,13,9,12,9,10,6,10,6,3
12,29,31,27,21,28,19,20,15,18,17,18,13,12,12,9,11,7,10,6,3
13,32,34,30,24,31,22,21,16,18,18,18,14,12,12,10,12,7,11,7,3
14,35,35,31,25,34,25,24,19,19,18,19,14,15,15,10,12,8,11,7,3
15,38,38,34,28,34,26,25,19,19,21,19,15,16,16,11,13,9,12,7,4
16,39,41,34,29,37,29,26,22,19,24,20,16,16,16,14,13,10,13,8,4
17,42,44,35,32,37,30,27,25,20,25,20,19,16,16,15,13,13,14,8,5
18,45,45,38,35,38,31,28,26,23,25,20,19,16,19,18,16,13,15,8,5
19,48,48,41,38,38,32,28,26,26,25,23,22,17,19,18,16,16,15,11,5
